Timestamp  2.0, total num  25: 
1,3,0.9982481789102043
9,17,0.9829340237360983
8,19,0.9290151628046839
11,15,0.9953104699256333
4,14,0.9975670458979489
5,9,0.9837774143708466
6,13,0.9845442211044095

Timestamp  21.0, total num  28: 
 2,3,0.9467010863872255
4,16,0.9998720141565104
0,6,0.9107036102116226
5,9,0.9567626952983919
3,8,0.9839869602843233
1,16,0.9624856962840285
8,16,0.9342323189094228
4,8,0.9284066073945845
2,16,0.9898692588611544
1,5,0.9815162941452469
3,4,0.9797680616808919
13,18,0.9808128281461014
2,5,0.9476889261608159
3,16,0.9828445667718844
1,4,0.9667034515502887
7,17,0.9554937180827703
